Vardas          | Pavarde              | Galutinis (Vid.) / Galutinis(Med.) 
Vardas64        | Pavarde64            | 6.08
Vardas291       | Pavarde291           | 5.40
Vardas183       | Pavarde183           | 6.16
Vardas654       | Pavarde654           | 5.84
Vardas127       | Pavarde127           | 5.40
Vardas412       | Pavarde412           | 5.76
Vardas373       | Pavarde373           | 6.16
Vardas512       | Pavarde512           | 8.32
Vardas681       | Pavarde681           | 7.24
Vardas913       | Pavarde913           | 7.56
Vardas554       | Pavarde554           | 6.44
Vardas855       | Pavarde855           | 6.04
Vardas719       | Pavarde719           | 7.44
Vardas972       | Pavarde972           | 5.20
Vardas910       | Pavarde910           | 6.92
Vardas450       | Pavarde450           | 5.84
Vardas419       | Pavarde419           | 7.52
Vardas21        | Pavarde21            | 8.00
Vardas285       | Pavarde285           | 8.64
Vardas246       | Pavarde246           | 7.48
Vardas882       | Pavarde882           | 7.20
Vardas961       | Pavarde961           | 5.00
Vardas531       | Pavarde531           | 7.04
Vardas631       | Pavarde631           | 8.12
Vardas687       | Pavarde687           | 7.28
Vardas155       | Pavarde155           | 8.20
Vardas735       | Pavarde735           | 5.64
Vardas344       | Pavarde344           | 8.24
Vardas808       | Pavarde808           | 6.76
Vardas487       | Pavarde487           | 7.96
Vardas560       | Pavarde560           | 6.44
Vardas921       | Pavarde921           | 6.20
Vardas542       | Pavarde542           | 7.04
Vardas114       | Pavarde114           | 5.84
Vardas85        | Pavarde85            | 7.80
Vardas911       | Pavarde911           | 5.92
Vardas526       | Pavarde526           | 7.04
Vardas102       | Pavarde102           | 5.36
Vardas617       | Pavarde617           | 5.92
Vardas696       | Pavarde696           | 5.76
Vardas11        | Pavarde11            | 7.84
Vardas596       | Pavarde596           | 8.72
Vardas391       | Pavarde391           | 5.68
Vardas524       | Pavarde524           | 8.04
Vardas290       | Pavarde290           | 5.68
Vardas312       | Pavarde312           | 5.68
Vardas29        | Pavarde29            | 6.16
Vardas596       | Pavarde596           | 7.24
Vardas706       | Pavarde706           | 6.68
Vardas802       | Pavarde802           | 6.04
Vardas928       | Pavarde928           | 5.28
Vardas906       | Pavarde906           | 7.32
Vardas654       | Pavarde654           | 5.08
Vardas687       | Pavarde687           | 7.00
Vardas889       | Pavarde889           | 6.76
Vardas752       | Pavarde752           | 5.88
Vardas441       | Pavarde441           | 5.48
Vardas686       | Pavarde686           | 5.88
Vardas35        | Pavarde35            | 7.12
Vardas72        | Pavarde72            | 6.00
Vardas546       | Pavarde546           | 8.16
Vardas81        | Pavarde81            | 6.20
Vardas565       | Pavarde565           | 8.44
Vardas23        | Pavarde23            | 6.00
Vardas574       | Pavarde574           | 5.80
Vardas402       | Pavarde402           | 5.60
Vardas689       | Pavarde689           | 7.32
Vardas672       | Pavarde672           | 8.32
Vardas722       | Pavarde722           | 7.80
Vardas503       | Pavarde503           | 8.40
Vardas908       | Pavarde908           | 5.64
Vardas888       | Pavarde888           | 8.04
Vardas870       | Pavarde870           | 7.64
Vardas14        | Pavarde14            | 5.40
Vardas82        | Pavarde82            | 9.20
Vardas708       | Pavarde708           | 6.04
Vardas304       | Pavarde304           | 6.20
Vardas285       | Pavarde285           | 6.48
Vardas791       | Pavarde791           | 5.24
Vardas290       | Pavarde290           | 6.72
Vardas928       | Pavarde928           | 5.48
Vardas17        | Pavarde17            | 7.36
Vardas234       | Pavarde234           | 6.92
Vardas292       | Pavarde292           | 6.04
Vardas927       | Pavarde927           | 7.00
Vardas575       | Pavarde575           | 5.08
Vardas841       | Pavarde841           | 5.36
Vardas895       | Pavarde895           | 8.32
Vardas425       | Pavarde425           | 7.00
Vardas640       | Pavarde640           | 5.72
Vardas964       | Pavarde964           | 6.88
Vardas13        | Pavarde13            | 6.04
Vardas854       | Pavarde854           | 6.52
Vardas530       | Pavarde530           | 8.12
Vardas437       | Pavarde437           | 8.24
Vardas732       | Pavarde732           | 6.64
Vardas427       | Pavarde427           | 6.28
Vardas355       | Pavarde355           | 6.96
Vardas873       | Pavarde873           | 5.32
Vardas736       | Pavarde736           | 7.32
Vardas433       | Pavarde433           | 8.32
Vardas162       | Pavarde162           | 6.36
Vardas689       | Pavarde689           | 6.76
Vardas80        | Pavarde80            | 5.56
Vardas349       | Pavarde349           | 6.52
Vardas41        | Pavarde41            | 7.64
Vardas762       | Pavarde762           | 8.48
Vardas703       | Pavarde703           | 6.76
Vardas889       | Pavarde889           | 5.32
Vardas888       | Pavarde888           | 6.24
Vardas842       | Pavarde842           | 6.32
Vardas625       | Pavarde625           | 5.60
Vardas877       | Pavarde877           | 7.28
Vardas271       | Pavarde271           | 5.76
Vardas799       | Pavarde799           | 6.40
Vardas589       | Pavarde589           | 6.92
Vardas837       | Pavarde837           | 5.60
Vardas440       | Pavarde440           | 5.32
Vardas873       | Pavarde873           | 5.68
Vardas865       | Pavarde865           | 5.32
Vardas389       | Pavarde389           | 6.32
Vardas441       | Pavarde441           | 5.24
Vardas482       | Pavarde482           | 7.32
Vardas528       | Pavarde528           | 5.08
Vardas130       | Pavarde130           | 6.20
Vardas966       | Pavarde966           | 6.88
Vardas724       | Pavarde724           | 8.48
Vardas36        | Pavarde36            | 6.68
Vardas22        | Pavarde22            | 6.12
Vardas185       | Pavarde185           | 7.64
Vardas626       | Pavarde626           | 7.00
Vardas28        | Pavarde28            | 6.08
Vardas154       | Pavarde154           | 5.80
Vardas537       | Pavarde537           | 6.04
Vardas19        | Pavarde19            | 6.96
Vardas125       | Pavarde125           | 7.52
Vardas981       | Pavarde981           | 5.28
Vardas558       | Pavarde558           | 6.60
Vardas126       | Pavarde126           | 6.28
Vardas81        | Pavarde81            | 5.16
Vardas136       | Pavarde136           | 8.84
Vardas969       | Pavarde969           | 5.16
Vardas599       | Pavarde599           | 7.24
Vardas268       | Pavarde268           | 7.64
Vardas748       | Pavarde748           | 6.04
Vardas14        | Pavarde14            | 5.52
Vardas466       | Pavarde466           | 6.36
Vardas726       | Pavarde726           | 5.24
Vardas806       | Pavarde806           | 7.08
Vardas131       | Pavarde131           | 5.68
Vardas775       | Pavarde775           | 5.12
Vardas633       | Pavarde633           | 7.00
Vardas717       | Pavarde717           | 6.88
Vardas882       | Pavarde882           | 7.40
Vardas700       | Pavarde700           | 6.24
Vardas889       | Pavarde889           | 7.04
Vardas854       | Pavarde854           | 5.68
Vardas787       | Pavarde787           | 5.68
Vardas742       | Pavarde742           | 7.04
Vardas102       | Pavarde102           | 6.76
Vardas560       | Pavarde560           | 6.48
Vardas272       | Pavarde272           | 5.76
Vardas2         | Pavarde2             | 6.92
Vardas483       | Pavarde483           | 9.08
Vardas118       | Pavarde118           | 7.92
Vardas802       | Pavarde802           | 7.32
Vardas773       | Pavarde773           | 7.84
Vardas487       | Pavarde487           | 5.60
Vardas342       | Pavarde342           | 6.40
Vardas828       | Pavarde828           | 5.28
Vardas280       | Pavarde280           | 7.76
Vardas670       | Pavarde670           | 6.88
Vardas709       | Pavarde709           | 5.12
Vardas388       | Pavarde388           | 8.80
Vardas886       | Pavarde886           | 7.52
Vardas20        | Pavarde20            | 7.40
Vardas308       | Pavarde308           | 6.60
Vardas985       | Pavarde985           | 7.28
Vardas84        | Pavarde84            | 7.44
Vardas369       | Pavarde369           | 6.28
Vardas765       | Pavarde765           | 7.60
Vardas714       | Pavarde714           | 5.80
Vardas581       | Pavarde581           | 6.72
Vardas168       | Pavarde168           | 7.60
Vardas428       | Pavarde428           | 7.68
Vardas976       | Pavarde976           | 5.60
Vardas595       | Pavarde595           | 8.12
Vardas700       | Pavarde700           | 7.88
Vardas137       | Pavarde137           | 5.76
Vardas323       | Pavarde323           | 8.24
Vardas682       | Pavarde682           | 6.52
Vardas338       | Pavarde338           | 6.28
Vardas279       | Pavarde279           | 5.28
Vardas693       | Pavarde693           | 7.52
Vardas679       | Pavarde679           | 6.64
Vardas178       | Pavarde178           | 6.20
Vardas340       | Pavarde340           | 5.96
Vardas445       | Pavarde445           | 5.72
Vardas134       | Pavarde134           | 6.84
Vardas206       | Pavarde206           | 8.16
Vardas417       | Pavarde417           | 8.00
Vardas368       | Pavarde368           | 7.84
Vardas459       | Pavarde459           | 7.44
Vardas48        | Pavarde48            | 6.44
Vardas551       | Pavarde551           | 7.52
Vardas846       | Pavarde846           | 7.92
Vardas607       | Pavarde607           | 6.04
Vardas497       | Pavarde497           | 5.88
Vardas375       | Pavarde375           | 5.36
Vardas300       | Pavarde300           | 7.56
Vardas5         | Pavarde5             | 5.04
Vardas113       | Pavarde113           | 7.60
Vardas163       | Pavarde163           | 8.48
Vardas329       | Pavarde329           | 7.96
Vardas473       | Pavarde473           | 6.76
Vardas561       | Pavarde561           | 8.40
Vardas134       | Pavarde134           | 9.28
Vardas216       | Pavarde216           | 8.72
Vardas172       | Pavarde172           | 6.68
Vardas238       | Pavarde238           | 5.12
Vardas121       | Pavarde121           | 8.08
Vardas784       | Pavarde784           | 6.28
Vardas129       | Pavarde129           | 7.28
Vardas346       | Pavarde346           | 7.16
Vardas222       | Pavarde222           | 6.00
Vardas134       | Pavarde134           | 7.20
Vardas295       | Pavarde295           | 5.96
Vardas825       | Pavarde825           | 5.80
Vardas11        | Pavarde11            | 6.80
Vardas897       | Pavarde897           | 8.48
Vardas326       | Pavarde326           | 7.56
Vardas994       | Pavarde994           | 7.36
Vardas869       | Pavarde869           | 6.56
Vardas682       | Pavarde682           | 6.12
Vardas20        | Pavarde20            | 6.08
Vardas757       | Pavarde757           | 6.12
Vardas981       | Pavarde981           | 7.00
Vardas885       | Pavarde885           | 5.28
Vardas254       | Pavarde254           | 6.28
Vardas279       | Pavarde279           | 5.28
Vardas621       | Pavarde621           | 5.56
Vardas652       | Pavarde652           | 6.84
Vardas479       | Pavarde479           | 6.36
Vardas579       | Pavarde579           | 5.52
Vardas212       | Pavarde212           | 7.44
Vardas551       | Pavarde551           | 5.80
Vardas457       | Pavarde457           | 8.88
Vardas2         | Pavarde2             | 5.16
Vardas508       | Pavarde508           | 7.84
Vardas602       | Pavarde602           | 6.32
Vardas319       | Pavarde319           | 7.96
Vardas816       | Pavarde816           | 6.16
Vardas148       | Pavarde148           | 6.52
Vardas795       | Pavarde795           | 7.68
Vardas961       | Pavarde961           | 7.40
Vardas641       | Pavarde641           | 8.80
Vardas128       | Pavarde128           | 5.60
Vardas916       | Pavarde916           | 5.56
Vardas531       | Pavarde531           | 7.56
Vardas257       | Pavarde257           | 6.76
Vardas308       | Pavarde308           | 6.84
Vardas198       | Pavarde198           | 8.20
Vardas588       | Pavarde588           | 6.92
Vardas90        | Pavarde90            | 6.68
Vardas257       | Pavarde257           | 6.32
Vardas662       | Pavarde662           | 7.88
Vardas913       | Pavarde913           | 8.32
Vardas740       | Pavarde740           | 7.60
Vardas817       | Pavarde817           | 8.12
Vardas531       | Pavarde531           | 7.92
Vardas782       | Pavarde782           | 8.56
Vardas182       | Pavarde182           | 6.76
Vardas136       | Pavarde136           | 7.00
Vardas999       | Pavarde999           | 5.32
Vardas752       | Pavarde752           | 5.36
Vardas698       | Pavarde698           | 5.00
Vardas107       | Pavarde107           | 6.40
Vardas63        | Pavarde63            | 5.84
Vardas397       | Pavarde397           | 7.24
Vardas210       | Pavarde210           | 5.04
Vardas994       | Pavarde994           | 6.12
Vardas553       | Pavarde553           | 6.12
Vardas668       | Pavarde668           | 8.36
Vardas636       | Pavarde636           | 7.40
Vardas892       | Pavarde892           | 6.48
Vardas605       | Pavarde605           | 7.68
Vardas978       | Pavarde978           | 5.28
Vardas943       | Pavarde943           | 7.64
Vardas412       | Pavarde412           | 7.88
Vardas323       | Pavarde323           | 8.24
Vardas689       | Pavarde689           | 7.72
Vardas293       | Pavarde293           | 7.76
Vardas369       | Pavarde369           | 8.16
Vardas430       | Pavarde430           | 6.96
Vardas566       | Pavarde566           | 5.36
Vardas214       | Pavarde214           | 6.96
Vardas436       | Pavarde436           | 6.48
Vardas121       | Pavarde121           | 8.24
Vardas719       | Pavarde719           | 7.56
Vardas882       | Pavarde882           | 7.96
Vardas728       | Pavarde728           | 5.92
Vardas216       | Pavarde216           | 6.72
Vardas331       | Pavarde331           | 6.84
Vardas398       | Pavarde398           | 8.88
Vardas959       | Pavarde959           | 5.60
Vardas713       | Pavarde713           | 8.00
Vardas38        | Pavarde38            | 8.80
Vardas38        | Pavarde38            | 5.56
Vardas879       | Pavarde879           | 9.28
Vardas16        | Pavarde16            | 5.12
Vardas58        | Pavarde58            | 5.24
Vardas31        | Pavarde31            | 5.92
Vardas719       | Pavarde719           | 6.24
Vardas69        | Pavarde69            | 5.36
Vardas836       | Pavarde836           | 8.36
Vardas59        | Pavarde59            | 5.60
Vardas149       | Pavarde149           | 5.92
Vardas345       | Pavarde345           | 6.60
Vardas693       | Pavarde693           | 8.84
Vardas783       | Pavarde783           | 5.40
Vardas383       | Pavarde383           | 8.40
Vardas206       | Pavarde206           | 8.48
Vardas527       | Pavarde527           | 8.64
Vardas81        | Pavarde81            | 7.00
Vardas507       | Pavarde507           | 6.04
Vardas866       | Pavarde866           | 7.96
Vardas247       | Pavarde247           | 6.08
Vardas672       | Pavarde672           | 5.08
Vardas894       | Pavarde894           | 6.92
Vardas598       | Pavarde598           | 7.32
Vardas706       | Pavarde706           | 5.88
Vardas390       | Pavarde390           | 6.92
Vardas235       | Pavarde235           | 8.80
Vardas171       | Pavarde171           | 7.60
Vardas192       | Pavarde192           | 6.84
Vardas259       | Pavarde259           | 6.00
Vardas796       | Pavarde796           | 6.60
Vardas901       | Pavarde901           | 5.32
Vardas305       | Pavarde305           | 7.24
Vardas236       | Pavarde236           | 6.48
Vardas533       | Pavarde533           | 5.68
Vardas511       | Pavarde511           | 5.72
Vardas234       | Pavarde234           | 7.08
Vardas508       | Pavarde508           | 5.68
Vardas752       | Pavarde752           | 8.72
Vardas655       | Pavarde655           | 8.80
Vardas411       | Pavarde411           | 7.32
Vardas852       | Pavarde852           | 7.04
Vardas33        | Pavarde33            | 5.84
Vardas236       | Pavarde236           | 6.56
Vardas493       | Pavarde493           | 8.48
Vardas305       | Pavarde305           | 7.88
Vardas480       | Pavarde480           | 5.52
Vardas884       | Pavarde884           | 5.68
Vardas649       | Pavarde649           | 8.00
Vardas461       | Pavarde461           | 6.00
Vardas529       | Pavarde529           | 7.28
Vardas738       | Pavarde738           | 6.52
Vardas746       | Pavarde746           | 7.88
Vardas177       | Pavarde177           | 6.16
Vardas823       | Pavarde823           | 5.64
Vardas22        | Pavarde22            | 5.64
Vardas319       | Pavarde319           | 5.36
Vardas702       | Pavarde702           | 5.64
Vardas520       | Pavarde520           | 6.96
Vardas651       | Pavarde651           | 5.04
Vardas951       | Pavarde951           | 6.36
Vardas607       | Pavarde607           | 6.04
Vardas564       | Pavarde564           | 5.72
Vardas411       | Pavarde411           | 8.72
Vardas287       | Pavarde287           | 7.76
Vardas776       | Pavarde776           | 6.84
Vardas378       | Pavarde378           | 6.40
Vardas108       | Pavarde108           | 7.36
Vardas466       | Pavarde466           | 8.28
Vardas112       | Pavarde112           | 8.00
Vardas253       | Pavarde253           | 5.64
Vardas141       | Pavarde141           | 5.08
Vardas522       | Pavarde522           | 7.04
Vardas369       | Pavarde369           | 6.48
Vardas915       | Pavarde915           | 6.24
Vardas177       | Pavarde177           | 8.08
Vardas338       | Pavarde338           | 7.44
Vardas710       | Pavarde710           | 6.72
Vardas437       | Pavarde437           | 7.28
Vardas865       | Pavarde865           | 8.32
Vardas180       | Pavarde180           | 6.00
Vardas957       | Pavarde957           | 8.40
Vardas891       | Pavarde891           | 7.04
Vardas782       | Pavarde782           | 7.12
Vardas516       | Pavarde516           | 8.04
Vardas615       | Pavarde615           | 8.32
Vardas88        | Pavarde88            | 5.00
Vardas473       | Pavarde473           | 8.72
Vardas72        | Pavarde72            | 6.60
Vardas926       | Pavarde926           | 6.24
Vardas571       | Pavarde571           | 5.68
Vardas624       | Pavarde624           | 7.92
Vardas408       | Pavarde408           | 5.96
Vardas341       | Pavarde341           | 7.64
Vardas561       | Pavarde561           | 6.36
Vardas625       | Pavarde625           | 6.08
Vardas381       | Pavarde381           | 7.48
Vardas236       | Pavarde236           | 6.08
Vardas232       | Pavarde232           | 6.68
Vardas900       | Pavarde900           | 7.52
Vardas516       | Pavarde516           | 8.32
Vardas453       | Pavarde453           | 5.24
Vardas298       | Pavarde298           | 6.28
Vardas547       | Pavarde547           | 6.40
Vardas746       | Pavarde746           | 6.40
Vardas503       | Pavarde503           | 7.00
Vardas429       | Pavarde429           | 6.20
Vardas621       | Pavarde621           | 5.24
Vardas264       | Pavarde264           | 6.56
Vardas978       | Pavarde978           | 6.44
Vardas409       | Pavarde409           | 7.52
Vardas398       | Pavarde398           | 6.56
Vardas118       | Pavarde118           | 7.56
Vardas860       | Pavarde860           | 6.32
Vardas251       | Pavarde251           | 6.80
Vardas346       | Pavarde346           | 6.76
Vardas741       | Pavarde741           | 6.32
Vardas658       | Pavarde658           | 6.48
Vardas437       | Pavarde437           | 7.92
Vardas717       | Pavarde717           | 5.16
Vardas921       | Pavarde921           | 6.64
Vardas527       | Pavarde527           | 5.48
Vardas989       | Pavarde989           | 5.36
Vardas187       | Pavarde187           | 5.08
Vardas911       | Pavarde911           | 5.16
Vardas341       | Pavarde341           | 8.00
Vardas595       | Pavarde595           | 6.40
Vardas87        | Pavarde87            | 6.80
Vardas200       | Pavarde200           | 6.72
Vardas20        | Pavarde20            | 8.52
Vardas250       | Pavarde250           | 7.04
Vardas36        | Pavarde36            | 6.32
Vardas200       | Pavarde200           | 7.24
Vardas111       | Pavarde111           | 7.52
Vardas788       | Pavarde788           | 7.64
Vardas706       | Pavarde706           | 6.92
Vardas348       | Pavarde348           | 5.16
Vardas800       | Pavarde800           | 7.36
Vardas516       | Pavarde516           | 7.88
Vardas864       | Pavarde864           | 8.16
Vardas967       | Pavarde967           | 7.80
Vardas598       | Pavarde598           | 6.72
Vardas17        | Pavarde17            | 7.04
Vardas49        | Pavarde49            | 6.08
Vardas988       | Pavarde988           | 7.52
Vardas906       | Pavarde906           | 7.24
