Vardas         Pavarde             ND1  ND2  ND3  ND4  ND5  Egz  
Vardas1394     Pavarde1394         6    8    8    4    5    7    
Vardas2350     Pavarde2350         3    8    8    8    4    10   
Vardas1326     Pavarde1326         6    9    1    4    7    6    
Vardas3079     Pavarde3079         6    6    6    4    2    6    
Vardas1780     Pavarde1780         9    6    3    9    8    4    
Vardas5826     Pavarde5826         8    1    8    2    7    1    
Vardas203      Pavarde203          4    6    6    8    1    6    
Vardas2000     Pavarde2000         7    4    10   1    8    2    
Vardas5822     Pavarde5822         9    1    4    5    8    3    
Vardas6467     Pavarde6467         9    9    9    9    10   9    
Vardas4604     Pavarde4604         1    3    6    3    1    9    
Vardas4663     Pavarde4663         10   9    4    3    2    4    
Vardas6365     Pavarde6365         9    2    7    10   6    9    
Vardas8557     Pavarde8557         5    1    1    5    4    2    
Vardas6771     Pavarde6771         2    10   4    5    5    8    
Vardas4049     Pavarde4049         1    8    2    1    1    9    
Vardas176      Pavarde176          4    6    3    1    2    3    
Vardas5535     Pavarde5535         8    7    9    3    10   6    
Vardas155      Pavarde155          3    3    8    8    1    10   
Vardas9138     Pavarde9138         10   6    9    5    3    7    
Vardas8228     Pavarde8228         1    7    7    5    8    6    
Vardas5301     Pavarde5301         10   1    7    10   7    3    
Vardas7728     Pavarde7728         4    3    5    4    7    7    
Vardas7850     Pavarde7850         4    4    7    1    2    7    
Vardas8061     Pavarde8061         1    6    10   7    1    2    
Vardas951      Pavarde951          10   7    7    2    9    3    
Vardas4591     Pavarde4591         8    8    5    3    4    2    
Vardas2131     Pavarde2131         4    3    2    1    5    5    
Vardas5895     Pavarde5895         4    5    10   9    8    3    
Vardas9553     Pavarde9553         1    10   7    1    10   4    
Vardas4464     Pavarde4464         4    5    7    8    8    6    
Vardas5369     Pavarde5369         10   9    7    4    3    7    
Vardas7692     Pavarde7692         7    9    10   3    9    2    
Vardas404      Pavarde404          2    1    6    10   1    3    
Vardas8641     Pavarde8641         1    7    2    5    3    8    
Vardas249      Pavarde249          4    10   6    4    3    3    
Vardas9175     Pavarde9175         10   2    3    6    1    5    
Vardas5550     Pavarde5550         3    3    10   5    3    10   
Vardas2102     Pavarde2102         2    1    7    5    9    3    
Vardas6780     Pavarde6780         2    10   10   2    10   10   
Vardas1945     Pavarde1945         5    9    10   10   1    4    
Vardas3557     Pavarde3557         6    9    4    2    5    1    
Vardas879      Pavarde879          6    3    9    10   2    3    
Vardas4757     Pavarde4757         9    5    4    7    8    3    
Vardas2843     Pavarde2843         4    2    8    4    7    9    
Vardas5145     Pavarde5145         5    10   10   9    10   9    
Vardas9225     Pavarde9225         2    6    4    9    3    8    
Vardas6825     Pavarde6825         4    8    8    7    8    2    
Vardas6116     Pavarde6116         3    8    7    10   10   5    
Vardas2442     Pavarde2442         6    7    9    10   10   6    
Vardas232      Pavarde232          7    6    10   2    7    10   
Vardas3375     Pavarde3375         7    2    6    10   6    7    
Vardas2940     Pavarde2940         8    3    8    10   5    6    
Vardas487      Pavarde487          4    8    6    2    2    9    
Vardas9332     Pavarde9332         1    7    10   6    2    5    
Vardas5257     Pavarde5257         8    7    7    2    2    3    
Vardas3393     Pavarde3393         1    7    7    4    4    4    
Vardas872      Pavarde872          5    9    9    5    1    5    
Vardas4067     Pavarde4067         4    10   1    1    10   5    
Vardas3841     Pavarde3841         8    6    2    8    6    6    
Vardas1416     Pavarde1416         6    1    7    2    5    6    
Vardas2478     Pavarde2478         10   7    6    9    6    2    
Vardas4918     Pavarde4918         1    3    8    5    4    6    
Vardas7990     Pavarde7990         4    5    8    9    4    5    
Vardas6967     Pavarde6967         5    6    2    2    9    10   
Vardas4106     Pavarde4106         6    7    10   4    8    6    
Vardas3351     Pavarde3351         7    5    8    5    1    4    
Vardas8808     Pavarde8808         4    7    2    4    10   10   
Vardas6786     Pavarde6786         10   4    5    4    7    10   
Vardas1643     Pavarde1643         6    6    5    1    9    4    
Vardas3730     Pavarde3730         7    7    2    4    2    4    
Vardas6371     Pavarde6371         5    7    8    6    9    1    
Vardas9235     Pavarde9235         6    4    9    10   9    4    
Vardas8140     Pavarde8140         7    4    7    3    5    9    
Vardas8306     Pavarde8306         3    7    2    6    2    5    
Vardas1000     Pavarde1000         4    6    6    5    1    10   
Vardas9102     Pavarde9102         10   7    1    6    1    6    
Vardas8621     Pavarde8621         3    4    8    3    5    1    
Vardas7198     Pavarde7198         3    10   5    4    2    4    
Vardas2050     Pavarde2050         4    5    4    1    9    3    
Vardas7637     Pavarde7637         1    7    3    9    5    10   
Vardas2032     Pavarde2032         6    10   3    9    9    10   
Vardas5156     Pavarde5156         1    7    6    5    7    8    
Vardas6295     Pavarde6295         3    2    3    4    5    5    
Vardas6663     Pavarde6663         1    1    6    9    9    4    
Vardas9382     Pavarde9382         5    9    1    2    10   8    
Vardas2118     Pavarde2118         5    10   6    9    8    4    
Vardas5517     Pavarde5517         3    10   2    7    9    9    
Vardas6511     Pavarde6511         6    8    5    6    2    9    
Vardas2619     Pavarde2619         5    1    5    4    4    6    
Vardas5507     Pavarde5507         7    3    2    1    6    2    
Vardas9839     Pavarde9839         2    7    1    4    1    9    
Vardas1947     Pavarde1947         8    6    7    5    5    1    
Vardas1151     Pavarde1151         7    3    10   10   1    6    
Vardas1112     Pavarde1112         5    5    1    6    8    6    
Vardas5327     Pavarde5327         2    10   3    8    4    4    
Vardas1131     Pavarde1131         3    9    6    9    4    5    
Vardas1638     Pavarde1638         6    2    3    7    5    6    
Vardas4055     Pavarde4055         7    10   2    5    5    4    
Vardas4559     Pavarde4559         1    6    8    1    8    3    
Vardas4812     Pavarde4812         6    3    5    3    7    4    
Vardas5187     Pavarde5187         8    2    4    6    7    4    
Vardas8663     Pavarde8663         1    5    4    9    10   10   
Vardas4826     Pavarde4826         5    6    7    2    7    3    
Vardas4980     Pavarde4980         9    6    9    10   10   1    
Vardas7568     Pavarde7568         6    7    1    6    10   6    
Vardas2317     Pavarde2317         8    9    2    5    5    3    
Vardas2696     Pavarde2696         8    9    5    5    3    10   
Vardas8319     Pavarde8319         8    10   6    6    4    7    
Vardas449      Pavarde449          5    4    9    3    1    6    
Vardas2538     Pavarde2538         9    8    9    2    2    3    
Vardas9570     Pavarde9570         10   10   9    9    2    10   
Vardas9210     Pavarde9210         4    6    2    10   4    2    
Vardas7097     Pavarde7097         6    7    2    3    7    9    
Vardas70       Pavarde70           10   10   2    2    5    1    
Vardas2514     Pavarde2514         10   6    2    6    9    3    
Vardas1199     Pavarde1199         8    2    7    1    8    4    
Vardas6716     Pavarde6716         6    4    8    8    1    7    
Vardas3549     Pavarde3549         8    5    8    9    6    5    
Vardas7774     Pavarde7774         4    6    9    4    8    2    
Vardas6417     Pavarde6417         3    2    4    3    5    9    
Vardas4534     Pavarde4534         5    1    5    1    6    1    
Vardas1111     Pavarde1111         5    9    7    2    10   3    
Vardas9094     Pavarde9094         1    1    5    1    2    7    
Vardas6952     Pavarde6952         6    7    10   1    7    10   
Vardas908      Pavarde908          3    5    4    2    8    4    
Vardas9629     Pavarde9629         6    7    7    2    10   8    
Vardas5932     Pavarde5932         10   10   9    2    10   4    
Vardas2752     Pavarde2752         10   1    10   4    5    9    
Vardas3170     Pavarde3170         1    1    1    7    5    8    
Vardas3513     Pavarde3513         9    8    2    10   1    9    
Vardas2628     Pavarde2628         2    3    3    4    10   4    
Vardas6654     Pavarde6654         7    6    2    10   8    1    
Vardas7324     Pavarde7324         10   8    8    10   5    6    
Vardas2718     Pavarde2718         7    1    8    8    3    10   
Vardas6380     Pavarde6380         8    8    8    9    5    2    
Vardas1588     Pavarde1588         6    4    6    10   4    6    
Vardas5641     Pavarde5641         10   9    10   4    8    1    
Vardas809      Pavarde809          3    9    3    4    4    7    
Vardas172      Pavarde172          7    2    4    2    9    9    
Vardas3478     Pavarde3478         7    9    10   4    4    9    
Vardas8765     Pavarde8765         1    1    1    9    4    8    
Vardas7638     Pavarde7638         4    6    3    5    3    8    
Vardas1105     Pavarde1105         1    6    7    3    8    6    
Vardas428      Pavarde428          8    3    4    5    6    3    
Vardas2413     Pavarde2413         9    6    10   8    4    3    
Vardas5351     Pavarde5351         10   5    7    6    7    7    
Vardas7671     Pavarde7671         4    3    5    2    6    7    
Vardas4314     Pavarde4314         6    3    1    7    4    4    
Vardas5584     Pavarde5584         10   4    4    10   7    3    
Vardas4401     Pavarde4401         3    6    8    8    4    1    
Vardas8581     Pavarde8581         10   3    3    8    5    6    
Vardas8925     Pavarde8925         7    3    6    3    10   10   
Vardas5875     Pavarde5875         3    6    1    10   10   2    
Vardas4472     Pavarde4472         4    1    10   10   3    8    
Vardas8830     Pavarde8830         5    4    8    10   6    2    
Vardas7399     Pavarde7399         1    5    2    4    2    3    
Vardas8845     Pavarde8845         10   3    3    9    2    1    
Vardas5901     Pavarde5901         4    1    4    10   1    7    
Vardas228      Pavarde228          10   10   1    10   10   6    
Vardas5677     Pavarde5677         7    7    3    4    9    6    
Vardas5317     Pavarde5317         4    5    7    9    3    7    
Vardas1414     Pavarde1414         9    5    7    7    3    7    
Vardas1935     Pavarde1935         7    1    9    8    4    1    
Vardas2752     Pavarde2752         3    3    9    8    7    4    
Vardas4800     Pavarde4800         7    9    5    9    5    7    
Vardas6093     Pavarde6093         7    5    2    10   9    2    
Vardas9903     Pavarde9903         9    3    5    10   1    3    
Vardas6586     Pavarde6586         2    9    4    4    1    2    
Vardas2607     Pavarde2607         7    4    5    5    6    9    
Vardas6909     Pavarde6909         4    1    7    8    5    2    
Vardas3085     Pavarde3085         2    3    10   7    4    8    
Vardas7995     Pavarde7995         2    3    6    1    6    6    
Vardas7929     Pavarde7929         8    2    8    7    7    1    
Vardas969      Pavarde969          2    9    2    10   5    8    
Vardas5784     Pavarde5784         5    5    2    4    3    5    
Vardas6003     Pavarde6003         9    2    4    7    4    8    
Vardas6436     Pavarde6436         3    4    3    10   1    1    
Vardas2766     Pavarde2766         5    6    8    9    1    8    
Vardas2895     Pavarde2895         1    8    2    7    2    4    
Vardas3585     Pavarde3585         9    3    1    7    8    5    
Vardas6377     Pavarde6377         2    7    6    6    5    5    
Vardas458      Pavarde458          6    5    10   8    4    8    
Vardas9130     Pavarde9130         5    1    8    9    10   1    
Vardas7739     Pavarde7739         4    2    5    10   10   8    
Vardas7881     Pavarde7881         5    1    3    10   6    4    
Vardas1645     Pavarde1645         4    8    4    10   5    8    
Vardas62       Pavarde62           9    2    10   3    10   7    
Vardas224      Pavarde224          1    4    4    9    7    2    
Vardas426      Pavarde426          2    9    3    3    9    2    
Vardas1441     Pavarde1441         1    8    3    10   4    7    
Vardas3280     Pavarde3280         10   5    2    1    2    4    
Vardas2716     Pavarde2716         10   1    5    3    8    8    
Vardas8375     Pavarde8375         9    5    2    8    5    3    
Vardas4373     Pavarde4373         9    7    1    3    1    4    
Vardas4121     Pavarde4121         4    8    9    2    9    3    
Vardas6746     Pavarde6746         9    7    4    5    4    2    
Vardas9958     Pavarde9958         7    3    4    10   6    8    
Vardas1231     Pavarde1231         3    9    2    8    2    4    
Vardas8907     Pavarde8907         1    9    4    9    10   4    
Vardas9855     Pavarde9855         2    5    5    1    2    9    
Vardas699      Pavarde699          3    8    9    10   5    5    
Vardas9601     Pavarde9601         1    7    5    3    5    2    
Vardas1043     Pavarde1043         5    4    9    6    6    5    
Vardas5093     Pavarde5093         10   9    6    1    2    8    
Vardas1741     Pavarde1741         9    10   10   5    6    1    
Vardas6011     Pavarde6011         5    3    7    2    4    2    
Vardas143      Pavarde143          5    8    1    1    1    5    
Vardas2999     Pavarde2999         3    5    9    5    5    3    
Vardas6839     Pavarde6839         7    5    10   5    10   6    
Vardas1011     Pavarde1011         4    1    6    9    5    7    
Vardas8641     Pavarde8641         7    5    9    9    2    4    
