Vardas         Pavarde             ND1  ND2  ND3  ND4  ND5  Egz  
Vardas978      Pavarde978          7    1    7    5    10   5    
Vardas515      Pavarde515          3    8    10   4    4    7    
Vardas906      Pavarde906          1    5    6    6    9    1    
Vardas168      Pavarde168          5    3    5    4    4    7    
Vardas375      Pavarde375          10   6    6    7    4    7    
Vardas294      Pavarde294          5    5    3    2    10   9    
Vardas719      Pavarde719          10   6    10   1    8    3    
Vardas121      Pavarde121          3    9    4    7    6    10   
Vardas145      Pavarde145          6    5    9    8    7    6    
Vardas50       Pavarde50           5    7    9    5    6    8    
Vardas35       Pavarde35           9    1    2    1    10   2    
Vardas590      Pavarde590          9    4    2    2    2    5    
Vardas890      Pavarde890          3    6    2    7    7    4    
Vardas188      Pavarde188          3    6    6    5    2    1    
Vardas696      Pavarde696          4    7    10   6    6    4    
Vardas566      Pavarde566          7    7    9    8    1    9    
Vardas47       Pavarde47           2    2    8    2    7    5    
Vardas804      Pavarde804          8    5    5    10   2    8    
Vardas473      Pavarde473          10   9    6    9    3    9    
Vardas701      Pavarde701          9    3    8    4    3    6    
Vardas773      Pavarde773          3    2    8    4    8    1    
Vardas955      Pavarde955          9    10   9    3    2    7    
Vardas777      Pavarde777          7    5    8    7    5    5    
Vardas909      Pavarde909          2    5    5    10   3    8    
Vardas287      Pavarde287          2    7    2    9    9    8    
Vardas409      Pavarde409          8    10   5    4    1    6    
Vardas900      Pavarde900          3    4    8    10   4    8    
Vardas493      Pavarde493          7    8    1    4    6    4    
Vardas7        Pavarde7            2    4    6    4    7    3    
Vardas765      Pavarde765          1    2    10   1    1    10   
Vardas366      Pavarde366          1    6    2    6    10   8    
Vardas97       Pavarde97           8    1    8    5    1    10   
Vardas930      Pavarde930          10   8    6    4    1    3    
Vardas316      Pavarde316          8    2    3    9    8    1    
Vardas874      Pavarde874          4    8    5    2    2    4    
Vardas898      Pavarde898          2    3    1    8    9    8    
Vardas497      Pavarde497          6    9    10   4    8    5    
Vardas311      Pavarde311          4    7    9    10   7    9    
Vardas797      Pavarde797          1    9    9    6    10   8    
Vardas424      Pavarde424          1    5    9    5    2    6    
Vardas813      Pavarde813          7    10   2    3    1    1    
Vardas983      Pavarde983          8    6    4    8    1    9    
Vardas348      Pavarde348          8    6    5    9    9    7    
Vardas31       Pavarde31           7    8    10   6    1    5    
Vardas58       Pavarde58           2    4    9    3    9    5    
Vardas627      Pavarde627          6    9    5    3    3    8    
Vardas667      Pavarde667          9    8    6    1    8    3    
Vardas559      Pavarde559          4    9    7    2    3    8    
Vardas327      Pavarde327          5    3    9    5    5    10   
Vardas156      Pavarde156          6    9    7    8    7    3    
Vardas40       Pavarde40           8    8    5    5    2    4    
Vardas383      Pavarde383          8    3    9    5    4    10   
Vardas477      Pavarde477          6    7    3    7    9    1    
Vardas599      Pavarde599          3    7    6    6    9    5    
Vardas326      Pavarde326          1    10   7    4    2    4    
Vardas203      Pavarde203          10   9    5    9    1    5    
Vardas246      Pavarde246          5    9    2    6    3    1    
Vardas627      Pavarde627          7    8    6    1    6    9    
Vardas286      Pavarde286          6    3    10   9    2    5    
Vardas796      Pavarde796          8    5    2    4    8    8    
Vardas223      Pavarde223          8    2    2    9    2    7    
Vardas900      Pavarde900          8    2    10   6    2    2    
Vardas635      Pavarde635          2    8    9    8    6    4    
Vardas79       Pavarde79           4    4    10   3    5    1    
Vardas465      Pavarde465          10   3    6    5    4    2    
Vardas249      Pavarde249          7    1    10   6    2    10   
Vardas228      Pavarde228          7    9    7    6    2    4    
Vardas385      Pavarde385          2    4    7    4    3    1    
Vardas172      Pavarde172          8    9    10   2    10   5    
Vardas698      Pavarde698          3    8    3    7    5    9    
Vardas576      Pavarde576          4    2    9    7    2    4    
Vardas323      Pavarde323          7    1    1    5    7    8    
Vardas861      Pavarde861          2    3    1    9    10   8    
Vardas196      Pavarde196          4    9    4    9    8    1    
Vardas396      Pavarde396          8    10   1    3    9    3    
Vardas402      Pavarde402          1    3    9    8    9    8    
Vardas273      Pavarde273          8    5    7    9    10   9    
Vardas617      Pavarde617          10   3    4    3    9    5    
Vardas40       Pavarde40           1    5    3    10   4    4    
Vardas817      Pavarde817          3    7    8    10   4    2    
Vardas850      Pavarde850          6    1    2    2    6    9    
Vardas322      Pavarde322          5    8    7    2    7    1    
Vardas83       Pavarde83           3    4    8    3    8    9    
Vardas417      Pavarde417          9    2    4    7    4    2    
Vardas161      Pavarde161          9    5    4    5    7    9    
Vardas496      Pavarde496          1    7    8    3    5    1    
Vardas868      Pavarde868          8    7    7    10   10   6    
Vardas80       Pavarde80           2    9    3    8    3    8    
Vardas508      Pavarde508          10   5    7    1    6    2    
Vardas842      Pavarde842          9    3    6    6    10   6    
Vardas122      Pavarde122          8    7    4    4    9    1    
Vardas769      Pavarde769          9    8    10   7    9    10   
Vardas322      Pavarde322          2    10   2    3    9    6    
Vardas152      Pavarde152          10   1    6    2    10   4    
Vardas750      Pavarde750          6    2    10   5    1    3    
Vardas563      Pavarde563          1    7    6    5    2    10   
Vardas21       Pavarde21           7    3    3    7    10   4    
Vardas808      Pavarde808          5    6    4    1    7    1    
Vardas687      Pavarde687          6    5    9    7    4    4    
Vardas477      Pavarde477          2    7    6    4    9    8    
Vardas127      Pavarde127          9    7    3    2    2    3    
Vardas23       Pavarde23           2    7    6    3    7    4    
Vardas998      Pavarde998          9    2    9    2    9    6    
Vardas889      Pavarde889          9    6    7    7    8    4    
Vardas64       Pavarde64           2    4    3    1    6    8    
Vardas291      Pavarde291          8    6    8    2    6    5    
Vardas491      Pavarde491          10   6    10   8    5    2    
Vardas183      Pavarde183          1    7    1    2    6    8    
Vardas654      Pavarde654          1    5    8    4    10   6    
Vardas127      Pavarde127          3    3    7    8    9    5    
Vardas639      Pavarde639          5    7    7    5    1    2    
Vardas412      Pavarde412          4    3    4    10   6    6    
Vardas373      Pavarde373          5    10   8    6    3    6    
Vardas512      Pavarde512          4    3    9    6    7    10   
Vardas548      Pavarde548          1    6    9    2    8    4    
Vardas652      Pavarde652          9    6    8    1    9    3    
Vardas681      Pavarde681          1    10   9    9    9    7    
Vardas662      Pavarde662          6    3    9    9    2    1    
Vardas913      Pavarde913          2    6    6    7    6    9    
Vardas652      Pavarde652          10   7    9    4    7    1    
Vardas554      Pavarde554          4    5    9    4    6    7    
Vardas446      Pavarde446          5    8    2    8    2    3    
Vardas330      Pavarde330          1    2    10   8    4    1    
Vardas972      Pavarde972          6    7    8    6    10   1    
Vardas704      Pavarde704          3    3    3    3    5    3    
Vardas855      Pavarde855          1    1    4    1    1    9    
Vardas719      Pavarde719          5    5    4    9    10   8    
Vardas972      Pavarde972          7    4    5    10   9    4    
Vardas910      Pavarde910          2    2    4    5    6    9    
Vardas450      Pavarde450          9    6    3    1    9    6    
Vardas419      Pavarde419          9    4    10   3    8    8    
Vardas21       Pavarde21           6    2    5    4    8    10   
Vardas115      Pavarde115          9    1    8    4    3    3    
Vardas285      Pavarde285          9    8    7    2    7    10   
Vardas72       Pavarde72           3    8    9    1    9    2    
Vardas506      Pavarde506          1    10   2    6    3    5    
Vardas374      Pavarde374          2    1    7    4    7    2    
Vardas522      Pavarde522          4    6    7    4    10   2    
Vardas625      Pavarde625          4    8    2    2    3    2    
Vardas246      Pavarde246          10   10   8    10   3    7    
Vardas882      Pavarde882          3    6    7    10   4    8    
Vardas933      Pavarde933          5    1    10   10   8    3    
Vardas584      Pavarde584          5    1    10   2    7    3    
Vardas961      Pavarde961          3    7    8    5    2    5    
Vardas531      Pavarde531          2    9    10   3    4    8    
Vardas588      Pavarde588          3    9    1    2    2    4    
Vardas825      Pavarde825          4    7    2    10   7    1    
Vardas631      Pavarde631          10   9    3    8    4    9    
Vardas687      Pavarde687          2    5    5    10   9    8    
Vardas155      Pavarde155          8    4    7    6    10   9    
Vardas735      Pavarde735          3    6    4    1    4    7    
Vardas344      Pavarde344          2    6    4    10   6    10   
Vardas808      Pavarde808          5    1    2    6    3    9    
Vardas487      Pavarde487          2    10   9    6    5    9    
Vardas741      Pavarde741          5    4    1    5    3    5    
Vardas662      Pavarde662          1    7    9    6    6    2    
Vardas560      Pavarde560          5    7    9    5    2    7    
Vardas921      Pavarde921          6    10   1    2    6    7    
Vardas542      Pavarde542          1    9    1    10   7    8    
Vardas114      Pavarde114          9    1    3    5    10   6    
Vardas85       Pavarde85           5    9    7    6    3    9    
Vardas678      Pavarde678          4    10   8    4    9    1    
Vardas808      Pavarde808          5    7    10   4    1    4    
Vardas25       Pavarde25           6    9    5    6    8    2    
Vardas911      Pavarde911          3    6    4    7    9    6    
Vardas526      Pavarde526          5    6    6    3    8    8    
Vardas407      Pavarde407          5    3    10   10   6    1    
Vardas102      Pavarde102          7    5    3    6    1    6    
Vardas617      Pavarde617          4    8    7    6    4    6    
Vardas194      Pavarde194          2    6    7    10   1    3    
Vardas774      Pavarde774          2    5    2    10   9    1    
Vardas696      Pavarde696          4    7    1    10   5    6    
Vardas124      Pavarde124          2    3    4    1    5    5    
Vardas11       Pavarde11           10   5    2    3    3    10   
Vardas596      Pavarde596          5    10   10   3    6    10   
Vardas391      Pavarde391          5    4    1    10   6    6    
Vardas362      Pavarde362          5    2    5    2    9    5    
Vardas999      Pavarde999          9    6    1    7    7    3    
Vardas524      Pavarde524          6    4    9    9    5    9    
Vardas290      Pavarde290          2    6    8    8    2    6    
Vardas312      Pavarde312          9    6    2    3    6    6    
Vardas693      Pavarde693          10   8    6    8    8    1    
Vardas740      Pavarde740          2    4    7    8    6    1    
Vardas587      Pavarde587          10   2    2    2    9    4    
Vardas29       Pavarde29           3    1    3    7    3    8    
Vardas596      Pavarde596          9    9    1    2    2    9    
Vardas706      Pavarde706          7    8    6    2    8    7    
Vardas486      Pavarde486          6    10   3    8    1    3    
Vardas802      Pavarde802          8    2    2    6    5    7    
Vardas928      Pavarde928          5    10   2    10   9    4    
Vardas659      Pavarde659          4    5    10   4    4    2    
Vardas806      Pavarde806          3    1    3    4    4    4    
Vardas906      Pavarde906          6    2    9    4    3    9    
Vardas654      Pavarde654          9    3    1    4    9    5    
Vardas687      Pavarde687          6    2    8    1    3    9    
Vardas889      Pavarde889          6    5    9    6    6    7    
Vardas780      Pavarde780          9    3    4    9    7    2    
Vardas752      Pavarde752          7    4    2    7    1    7    
Vardas441      Pavarde441          5    5    1    3    2    7    
Vardas686      Pavarde686          7    2    5    5    2    7    
Vardas558      Pavarde558          6    7    7    4    10   1    
Vardas35       Pavarde35           1    2    5    2    4    10   
Vardas595      Pavarde595          1    8    7    4    1    4    
Vardas260      Pavarde260          3    9    3    8    2    1    
Vardas109      Pavarde109          5    2    1    2    5    3    
Vardas72       Pavarde72           1    8    7    5    9    6    
Vardas457      Pavarde457          7    1    5    8    2    1    
Vardas406      Pavarde406          8    10   1    9    4    3    
Vardas546      Pavarde546          5    3    8    8    3    10   
Vardas81       Pavarde81           3    2    9    6    5    7    
Vardas468      Pavarde468          2    8    8    2    2    3    
Vardas565      Pavarde565          9    9    7    10   3    9    
Vardas23       Pavarde23           3    10   4    9    4    6    
Vardas574      Pavarde574          1    1    7    9    2    7    
Vardas402      Pavarde402          5    7    8    4    1    6    
Vardas430      Pavarde430          10   7    2    7    4    1    
Vardas689      Pavarde689          7    3    9    4    1    9    
Vardas295      Pavarde295          1    1    9    2    8    1    
Vardas491      Pavarde491          3    2    7    5    7    2    
Vardas20       Pavarde20           5    4    4    6    1    2    
Vardas672      Pavarde672          4    6    8    6    5    10   
Vardas722      Pavarde722          4    9    7    7    3    9    
Vardas503      Pavarde503          10   7    4    7    2    10   
Vardas639      Pavarde639          10   5    9    5    3    3    
Vardas908      Pavarde908          3    3    2    2    8    7    
Vardas888      Pavarde888          10   5    9    2    7    9    
Vardas870      Pavarde870          6    10   1    9    2    9    
Vardas14       Pavarde14           4    5    8    3    10   5    
Vardas82       Pavarde82           10   10   1    9    10   10   
Vardas708      Pavarde708          1    8    6    2    6    7    
Vardas448      Pavarde448          3    3    10   5    4    3    
Vardas41       Pavarde41           1    9    10   9    2    2    
Vardas304      Pavarde304          4    4    5    6    6    7    
Vardas125      Pavarde125          1    3    7    2    2    1    
Vardas494      Pavarde494          8    6    6    4    3    1    
Vardas899      Pavarde899          9    7    3    2    4    3    
Vardas285      Pavarde285          4    5    3    2    7    8    
Vardas870      Pavarde870          4    3    6    3    1    5    
Vardas88       Pavarde88           8    10   3    6    6    3    
Vardas791      Pavarde791          8    5    2    5    8    5    
Vardas172      Pavarde172          3    2    4    9    1    1    
Vardas290      Pavarde290          10   10   7    3    9    6    
Vardas928      Pavarde928          7    4    7    3    10   5    
Vardas17       Pavarde17           7    10   5    2    8    8    
Vardas234      Pavarde234          10   5    4    5    10   7    
Vardas292      Pavarde292          1    5    10   2    5    7    
Vardas559      Pavarde559          6    2    1    1    5    2    
Vardas927      Pavarde927          6    2    1    4    7    9    
Vardas365      Pavarde365          10   1    4    8    5    2    
Vardas222      Pavarde222          5    1    7    10   8    3    
Vardas575      Pavarde575          1    7    1    10   7    5    
Vardas841      Pavarde841          10   6    8    10   3    4    
Vardas895      Pavarde895          10   3    2    10   4    10   
Vardas425      Pavarde425          8    4    9    9    5    7    
Vardas640      Pavarde640          7    7    5    6    9    5    
Vardas821      Pavarde821          4    7    7    7    5    2    
Vardas964      Pavarde964          3    10   8    1    4    8    
Vardas13       Pavarde13           8    10   10   2    8    5    
Vardas854      Pavarde854          3    6    9    4    7    7    
Vardas886      Pavarde886          10   5    5    6    1    2    
Vardas128      Pavarde128          7    5    1    3    8    5    
Vardas410      Pavarde410          2    7    6    6    5    3    
Vardas530      Pavarde530          7    6    8    3    10   9    
Vardas264      Pavarde264          9    4    1    7    1    3    
Vardas437      Pavarde437          9    4    6    3    6    10   
Vardas896      Pavarde896          3    4    3    10   3    5    
Vardas560      Pavarde560          9    8    4    10   4    2    
Vardas732      Pavarde732          9    7    1    2    4    8    
Vardas427      Pavarde427          9    8    4    1    4    7    
Vardas355      Pavarde355          2    10   3    9    3    8    
Vardas938      Pavarde938          2    5    4    4    5    3    
Vardas873      Pavarde873          7    4    9    7    2    5    
Vardas736      Pavarde736          3    3    10   6    2    9    
Vardas433      Pavarde433          5    3    9    2    10   10   
Vardas162      Pavarde162          7    2    8    7    3    7    
Vardas133      Pavarde133          10   8    3    9    7    3    
Vardas689      Pavarde689          9    3    8    7    5    7    
Vardas80       Pavarde80           2    2    6    3    4    7    
Vardas349      Pavarde349          6    2    5    8    8    7    
Vardas217      Pavarde217          6    6    1    9    2    2    
Vardas41       Pavarde41           2    4    10   3    9    9    
Vardas138      Pavarde138          2    10   7    4    7    2    
Vardas422      Pavarde422          4    7    9    1    1    1    
Vardas611      Pavarde611          3    8    5    3    10   1    
Vardas762      Pavarde762          3    5    10   10   3    10   
Vardas355      Pavarde355          6    10   6    2    6    2    
Vardas703      Pavarde703          1    2    5    7    2    9    
Vardas337      Pavarde337          3    5    4    9    5    4    
Vardas889      Pavarde889          9    3    8    4    5    5    
Vardas13       Pavarde13           1    7    3    4    4    2    
Vardas888      Pavarde888          10   7    5    1    10   6    
Vardas532      Pavarde532          10   9    10   10   1    2    
Vardas559      Pavarde559          6    4    6    6    10   4    
Vardas842      Pavarde842          10   7    3    9    5    6    
Vardas625      Pavarde625          10   3    10   7    10   4    
Vardas529      Pavarde529          4    3    9    9    7    2    
Vardas877      Pavarde877          1    5    3    1    6    10   
Vardas899      Pavarde899          8    10   3    5    8    3    
Vardas98       Pavarde98           8    9    5    2    1    3    
Vardas271      Pavarde271          3    9    4    10   1    6    
Vardas799      Pavarde799          2    5    4    3    6    8    
Vardas984      Pavarde984          7    8    3    5    6    4    
Vardas589      Pavarde589          5    1    9    10   9    7    
Vardas60       Pavarde60           7    5    6    5    1    5    
Vardas837      Pavarde837          3    8    2    5    7    6    
Vardas440      Pavarde440          5    3    10   1    10   5    
Vardas873      Pavarde873          8    5    8    4    1    6    
Vardas865      Pavarde865          7    6    10   2    4    5    
Vardas389      Pavarde389          5    6    8    8    7    6    
Vardas441      Pavarde441          9    10   10   4    10   3    
Vardas274      Pavarde274          1    5    5    9    1    4    
Vardas745      Pavarde745          7    1    5    5    9    1    
Vardas108      Pavarde108          2    6    10   6    8    4    
Vardas155      Pavarde155          9    7    7    3    10   3    
Vardas943      Pavarde943          3    4    1    8    7    3    
Vardas229      Pavarde229          9    10   2    8    8    1    
Vardas511      Pavarde511          3    8    4    7    4    4    
Vardas105      Pavarde105          2    10   6    8    7    1    
Vardas693      Pavarde693          10   1    2    5    1    2    
Vardas482      Pavarde482          1    3    7    8    5    9    
Vardas908      Pavarde908          3    3    2    2    7    5    
Vardas528      Pavarde528          10   1    8    6    1    5    
Vardas130      Pavarde130          4    6    6    8    1    7    
Vardas293      Pavarde293          9    6    6    7    5    1    
Vardas966      Pavarde966          8    7    1    1    9    8    
Vardas724      Pavarde724          3    9    5    10   4    10   
Vardas36       Pavarde36           7    5    4    8    7    7    
Vardas22       Pavarde22           10   9    9    6    5    5    
Vardas185      Pavarde185          8    7    9    1    3    9    
Vardas576      Pavarde576          7    7    9    4    2    1    
Vardas626      Pavarde626          6    9    7    3    10   7    
Vardas28       Pavarde28           2    5    1    1    7    8    
Vardas458      Pavarde458          2    9    2    7    1    5    
Vardas716      Pavarde716          2    10   3    4    3    3    
Vardas154      Pavarde154          2    8    1    3    6    7    
Vardas537      Pavarde537          2    7    8    4    2    7    
Vardas19       Pavarde19           5    5    8    7    2    8    
Vardas125      Pavarde125          3    3    4    3    6    10   
Vardas981      Pavarde981          4    2    4    3    8    6    
Vardas558      Pavarde558          10   2    1    1    1    9    
Vardas126      Pavarde126          6    6    7    2    5    7    
Vardas81       Pavarde81           4    7    6    2    8    5    
Vardas136      Pavarde136          9    10   10   5    9    9    
Vardas969      Pavarde969          9    3    7    5    3    5    
Vardas599      Pavarde599          9    3    2    1    8    9    
Vardas504      Pavarde504          8    9    5    2    6    3    
Vardas268      Pavarde268          10   7    2    4    5    9    
Vardas748      Pavarde748          10   1    6    4    2    7    
Vardas14       Pavarde14           5    6    3    2    8    6    
Vardas466      Pavarde466          4    10   9    2    2    7    
Vardas905      Pavarde905          10   6    10   9    8    1    
Vardas328      Pavarde328          10   3    10   8    2    2    
Vardas349      Pavarde349          1    10   2    4    10   1    
Vardas782      Pavarde782          5    6    10   7    7    1    
Vardas726      Pavarde726          1    2    10   9    6    5    
Vardas51       Pavarde51           5    2    8    3    6    1    
Vardas806      Pavarde806          2    8    2    6    3    9    
Vardas47       Pavarde47           9    4    10   1    1    2    
Vardas131      Pavarde131          6    1    7    8    4    6    
Vardas775      Pavarde775          5    7    6    9    7    4    
Vardas633      Pavarde633          1    2    5    10   2    9    
Vardas717      Pavarde717          7    9    5    3    2    8    
Vardas882      Pavarde882          9    9    1    5    1    9    
Vardas140      Pavarde140          10   3    7    8    3    2    
Vardas716      Pavarde716          3    3    10   2    6    4    
Vardas481      Pavarde481          6    4    4    3    1    4    
Vardas418      Pavarde418          9    7    1    1    8    2    
Vardas799      Pavarde799          6    10   4    7    7    2    
Vardas700      Pavarde700          10   1    2    4    1    8    
Vardas889      Pavarde889          3    4    10   8    3    8    
Vardas854      Pavarde854          10   10   5    10   6    4    
Vardas787      Pavarde787          6    2    7    5    6    6    
Vardas411      Pavarde411          4    2    5    4    6    4    
Vardas742      Pavarde742          4    5    10   2    7    8    
Vardas102      Pavarde102          1    1    2    7    6    9    
Vardas192      Pavarde192          4    5    10   7    8    2    
Vardas953      Pavarde953          1    5    6    3    2    4    
Vardas771      Pavarde771          8    2    1    7    5    5    
Vardas741      Pavarde741          9    7    9    5    7    3    
Vardas690      Pavarde690          6    3    5    7    2    5    
Vardas560      Pavarde560          6    9    2    2    2    8    
Vardas272      Pavarde272          1    2    9    7    8    6    
Vardas2        Pavarde2            7    9    7    3    8    7    
Vardas796      Pavarde796          9    8    7    1    6    3    
Vardas483      Pavarde483          9    9    9    9    10   9    
Vardas118      Pavarde118          3    5    7    4    5    10   
Vardas802      Pavarde802          7    4    1    10   2    9    
Vardas773      Pavarde773          6    3    7    5    2    10   
Vardas487      Pavarde487          6    9    1    8    1    6    
Vardas772      Pavarde772          6    2    8    2    9    1    
Vardas342      Pavarde342          3    4    5    1    7    8    
Vardas362      Pavarde362          3    9    1    7    8    1    
Vardas828      Pavarde828          9    10   10   3    4    4    
Vardas234      Pavarde234          5    9    7    8    5    1    
Vardas280      Pavarde280          5    7    2    7    1    10   
Vardas670      Pavarde670          2    8    7    8    1    8    
Vardas677      Pavarde677          5    5    8    8    4    3    
Vardas709      Pavarde709          8    1    3    2    5    6    
Vardas388      Pavarde388          9    5    5    8    8    10   
Vardas886      Pavarde886          8    8    7    6    5    8    
Vardas237      Pavarde237          6    6    1    9    7    4    
Vardas20       Pavarde20           6    7    9    8    10   7    
Vardas308      Pavarde308          7    10   7    5    1    7    
Vardas985      Pavarde985          10   3    3    10   5    8    
Vardas84       Pavarde84           3    4    1    8    2    10   
Vardas369      Pavarde369          10   10   3    10   8    5    
Vardas172      Pavarde172          1    1    9    5    6    3    
Vardas262      Pavarde262          6    5    6    9    4    2    
Vardas483      Pavarde483          7    2    10   6    9    1    
Vardas962      Pavarde962          2    10   8    6    2    3    
Vardas616      Pavarde616          2    4    4    6    2    5    
Vardas966      Pavarde966          9    5    10   4    2    2    
Vardas765      Pavarde765          4    8    7    6    10   8    
Vardas89       Pavarde89           9    7    10   1    4    1    
Vardas714      Pavarde714          2    9    1    1    7    7    
Vardas581      Pavarde581          4    1    1    1    2    10   
Vardas454      Pavarde454          9    5    2    7    7    2    
Vardas769      Pavarde769          9    7    9    9    5    2    
Vardas168      Pavarde168          10   10   4    7    4    8    
Vardas428      Pavarde428          8    6    2    10   10   8    
Vardas976      Pavarde976          4    7    5    3    6    6    
Vardas595      Pavarde595          9    6    10   4    5    9    
Vardas700      Pavarde700          10   9    5    1    6    9    
