Vardas          | Pavarde              | Galutinis (Vid.) / Galutinis(Med.) 
Vardas918       | Pavarde918           | 1.48
Vardas484       | Pavarde484           | 2.80
Vardas270       | Pavarde270           | 4.96
Vardas533       | Pavarde533           | 3.40
Vardas78        | Pavarde78            | 2.68
Vardas198       | Pavarde198           | 2.64
Vardas999       | Pavarde999           | 3.76
Vardas431       | Pavarde431           | 3.04
Vardas734       | Pavarde734           | 2.88
Vardas103       | Pavarde103           | 4.96
Vardas355       | Pavarde355           | 4.56
Vardas215       | Pavarde215           | 3.96
Vardas168       | Pavarde168           | 3.64
Vardas310       | Pavarde310           | 4.56
Vardas67        | Pavarde67            | 2.72
Vardas375       | Pavarde375           | 4.44
Vardas493       | Pavarde493           | 4.40
Vardas300       | Pavarde300           | 4.84
Vardas613       | Pavarde613           | 3.60
Vardas971       | Pavarde971           | 2.88
Vardas877       | Pavarde877           | 4.68
Vardas499       | Pavarde499           | 3.16
Vardas449       | Pavarde449           | 4.08
Vardas82        | Pavarde82            | 4.88
Vardas437       | Pavarde437           | 2.92
Vardas958       | Pavarde958           | 3.08
Vardas707       | Pavarde707           | 3.08
Vardas754       | Pavarde754           | 4.44
Vardas761       | Pavarde761           | 2.84
Vardas757       | Pavarde757           | 2.52
Vardas717       | Pavarde717           | 4.36
Vardas335       | Pavarde335           | 4.96
Vardas87        | Pavarde87            | 2.04
Vardas680       | Pavarde680           | 3.76
Vardas863       | Pavarde863           | 3.16
Vardas951       | Pavarde951           | 3.24
Vardas118       | Pavarde118           | 3.64
Vardas205       | Pavarde205           | 4.92
Vardas705       | Pavarde705           | 2.88
Vardas465       | Pavarde465           | 3.04
Vardas658       | Pavarde658           | 2.84
Vardas649       | Pavarde649           | 3.16
Vardas963       | Pavarde963           | 3.20
Vardas555       | Pavarde555           | 3.68
Vardas257       | Pavarde257           | 2.44
Vardas873       | Pavarde873           | 3.40
Vardas312       | Pavarde312           | 2.44
Vardas767       | Pavarde767           | 3.64
Vardas393       | Pavarde393           | 3.20
Vardas547       | Pavarde547           | 3.32
Vardas909       | Pavarde909           | 3.76
Vardas906       | Pavarde906           | 4.60
Vardas940       | Pavarde940           | 3.60
Vardas718       | Pavarde718           | 4.28
Vardas840       | Pavarde840           | 2.72
Vardas220       | Pavarde220           | 3.56
Vardas20        | Pavarde20            | 2.60
Vardas227       | Pavarde227           | 4.84
Vardas647       | Pavarde647           | 3.08
Vardas129       | Pavarde129           | 4.24
Vardas646       | Pavarde646           | 3.68
Vardas75        | Pavarde75            | 4.48
Vardas651       | Pavarde651           | 4.44
Vardas518       | Pavarde518           | 4.52
Vardas105       | Pavarde105           | 2.96
Vardas269       | Pavarde269           | 3.36
Vardas401       | Pavarde401           | 2.04
Vardas187       | Pavarde187           | 4.44
Vardas625       | Pavarde625           | 4.40
Vardas426       | Pavarde426           | 4.48
Vardas268       | Pavarde268           | 3.24
Vardas157       | Pavarde157           | 4.36
Vardas126       | Pavarde126           | 3.04
Vardas318       | Pavarde318           | 2.36
Vardas565       | Pavarde565           | 2.92
Vardas740       | Pavarde740           | 4.28
Vardas517       | Pavarde517           | 4.96
Vardas224       | Pavarde224           | 4.64
Vardas827       | Pavarde827           | 2.68
Vardas207       | Pavarde207           | 4.84
Vardas946       | Pavarde946           | 3.00
Vardas310       | Pavarde310           | 4.40
Vardas623       | Pavarde623           | 3.72
Vardas907       | Pavarde907           | 1.96
Vardas875       | Pavarde875           | 3.80
Vardas812       | Pavarde812           | 4.80
Vardas787       | Pavarde787           | 3.96
Vardas839       | Pavarde839           | 4.88
Vardas459       | Pavarde459           | 4.08
Vardas904       | Pavarde904           | 4.24
Vardas371       | Pavarde371           | 3.88
Vardas607       | Pavarde607           | 2.80
Vardas995       | Pavarde995           | 3.80
Vardas805       | Pavarde805           | 3.56
Vardas41        | Pavarde41            | 4.76
Vardas91        | Pavarde91            | 2.04
Vardas950       | Pavarde950           | 2.92
Vardas145       | Pavarde145           | 4.92
Vardas153       | Pavarde153           | 2.56
Vardas280       | Pavarde280           | 2.36
Vardas231       | Pavarde231           | 2.28
Vardas383       | Pavarde383           | 3.28
Vardas353       | Pavarde353           | 3.60
Vardas16        | Pavarde16            | 4.76
Vardas232       | Pavarde232           | 4.92
Vardas864       | Pavarde864           | 3.84
Vardas626       | Pavarde626           | 2.28
Vardas324       | Pavarde324           | 3.64
Vardas245       | Pavarde245           | 4.40
Vardas832       | Pavarde832           | 3.32
Vardas362       | Pavarde362           | 3.84
Vardas814       | Pavarde814           | 3.76
Vardas401       | Pavarde401           | 4.52
Vardas231       | Pavarde231           | 4.20
Vardas72        | Pavarde72            | 3.00
Vardas295       | Pavarde295           | 3.40
Vardas704       | Pavarde704           | 2.48
Vardas367       | Pavarde367           | 2.84
Vardas396       | Pavarde396           | 4.80
Vardas908       | Pavarde908           | 2.92
Vardas730       | Pavarde730           | 2.04
Vardas825       | Pavarde825           | 4.80
Vardas253       | Pavarde253           | 2.76
Vardas229       | Pavarde229           | 4.48
Vardas984       | Pavarde984           | 3.28
Vardas516       | Pavarde516           | 3.80
Vardas667       | Pavarde667           | 2.36
Vardas449       | Pavarde449           | 3.80
Vardas150       | Pavarde150           | 3.36
Vardas820       | Pavarde820           | 4.04
Vardas944       | Pavarde944           | 4.68
Vardas860       | Pavarde860           | 3.92
Vardas144       | Pavarde144           | 3.24
Vardas54        | Pavarde54            | 4.64
Vardas77        | Pavarde77            | 3.68
Vardas341       | Pavarde341           | 4.16
Vardas16        | Pavarde16            | 3.08
Vardas677       | Pavarde677           | 3.08
Vardas880       | Pavarde880           | 2.96
Vardas644       | Pavarde644           | 3.92
Vardas532       | Pavarde532           | 2.88
Vardas1000      | Pavarde1000          | 1.24
Vardas273       | Pavarde273           | 3.40
Vardas753       | Pavarde753           | 3.48
Vardas548       | Pavarde548           | 4.28
Vardas391       | Pavarde391           | 3.20
Vardas46        | Pavarde46            | 3.08
Vardas219       | Pavarde219           | 4.16
Vardas614       | Pavarde614           | 2.96
Vardas1000      | Pavarde1000          | 3.56
Vardas19        | Pavarde19            | 3.16
Vardas549       | Pavarde549           | 4.84
Vardas651       | Pavarde651           | 2.92
Vardas916       | Pavarde916           | 3.64
Vardas936       | Pavarde936           | 4.20
Vardas450       | Pavarde450           | 4.56
Vardas655       | Pavarde655           | 2.60
Vardas730       | Pavarde730           | 3.76
Vardas487       | Pavarde487           | 3.16
Vardas167       | Pavarde167           | 3.52
Vardas875       | Pavarde875           | 3.00
Vardas732       | Pavarde732           | 3.48
Vardas799       | Pavarde799           | 4.48
Vardas939       | Pavarde939           | 4.00
Vardas337       | Pavarde337           | 3.56
Vardas519       | Pavarde519           | 3.80
Vardas611       | Pavarde611           | 4.04
Vardas40        | Pavarde40            | 4.04
Vardas82        | Pavarde82            | 4.84
Vardas666       | Pavarde666           | 2.36
Vardas810       | Pavarde810           | 3.48
Vardas957       | Pavarde957           | 3.12
Vardas938       | Pavarde938           | 4.00
Vardas799       | Pavarde799           | 3.16
Vardas163       | Pavarde163           | 2.52
Vardas356       | Pavarde356           | 2.36
Vardas133       | Pavarde133           | 2.36
Vardas14        | Pavarde14            | 2.60
Vardas105       | Pavarde105           | 4.92
Vardas761       | Pavarde761           | 4.32
Vardas21        | Pavarde21            | 3.32
Vardas658       | Pavarde658           | 4.60
Vardas591       | Pavarde591           | 4.56
Vardas809       | Pavarde809           | 3.68
Vardas86        | Pavarde86            | 2.96
Vardas678       | Pavarde678           | 4.00
Vardas780       | Pavarde780           | 2.52
Vardas456       | Pavarde456           | 4.24
Vardas343       | Pavarde343           | 3.32
Vardas674       | Pavarde674           | 4.76
Vardas173       | Pavarde173           | 4.00
Vardas1         | Pavarde1             | 4.84
